frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"187","Mar 27, 2025 02:33:18.282535000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"188","Mar 27, 2025 02:33:18.282535000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"189","Mar 27, 2025 02:33:18.282576000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"190","Mar 27, 2025 02:33:18.282646000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"191","Mar 27, 2025 02:33:18.282651000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"192","Mar 27, 2025 02:33:18.282722000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"193","Mar 27, 2025 02:33:18.282729000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"194","Mar 27, 2025 02:33:18.282757000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"195","Mar 27, 2025 02:33:18.282759000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"196","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"197","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"198","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"199","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"200","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"201","Mar 27, 2025 02:33:18.285356000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"202","Mar 27, 2025 02:33:18.299278000 India Standard Time","172.16.1.11","172.16.44.224",,,"53","62922",,,"g.alicdn.com"
"203","Mar 27, 2025 02:33:18.369200000 India Standard Time","172.16.44.224","23.223.243.11","49850","443",,,,,
"204","Mar 27, 2025 02:33:18.376735000 India Standard Time","23.223.243.11","172.16.44.224","443","49850",,,,,
"205","Mar 27, 2025 02:33:18.416345000 India Standard Time","172.16.44.224","8.8.4.4",,,"50330","443",,,
"206","Mar 27, 2025 02:33:18.506004000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"207","Mar 27, 2025 02:33:18.506052000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"208","Mar 27, 2025 02:33:18.506259000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"209","Mar 27, 2025 02:33:18.509647000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"210","Mar 27, 2025 02:33:18.510313000 India Standard Time","172.16.44.224","204.79.197.203","49841","443",,,,,
"211","Mar 27, 2025 02:33:18.513297000 India Standard Time","204.79.197.203","172.16.44.224","443","49841",,,,,
"212","Mar 27, 2025 02:33:18.526360000 India Standard Time","172.16.44.224","8.8.4.4","49836","443",,,,,
"213","Mar 27, 2025 02:33:18.535325000 India Standard Time","8.8.4.4","172.16.44.224","443","49836",,,,,
"214","Mar 27, 2025 02:33:18.596581000 India Standard Time","172.16.44.224","57.155.141.113","49707","443",,,,,
"215","Mar 27, 2025 02:33:18.596654000 India Standard Time","172.16.44.224","57.155.141.113","49707","443",,,,,
"216","Mar 27, 2025 02:33:18.596654000 India Standard Time","172.16.44.224","57.155.141.113","49707","443",,,,,
"217","Mar 27, 2025 02:33:18.599384000 India Standard Time","57.155.141.113","172.16.44.224","443","49707",,,,,
"218","Mar 27, 2025 02:33:18.599384000 India Standard Time","57.155.141.113","172.16.44.224","443","49707",,,,,
"219","Mar 27, 2025 02:33:18.599384000 India Standard Time","57.155.141.113","172.16.44.224","443","49707",,,,,
"220","Mar 27, 2025 02:33:18.684561000 India Standard Time","172.16.44.224","34.223.45.46","49822","443",,,,,
"221","Mar 27, 2025 02:33:18.688516000 India Standard Time","34.223.45.46","172.16.44.224","443","49822",,,,,
"222","Mar 27, 2025 02:33:18.700132000 India Standard Time","172.16.44.224","34.223.45.46","49821","443",,,,,
"223","Mar 27, 2025 02:33:18.706137000 India Standard Time","34.223.45.46","172.16.44.224","443","49821",,,,,
"224","Mar 27, 2025 02:33:18.743873000 India Standard Time","57.155.141.113","172.16.44.224","443","49707",,,,,
"225","Mar 27, 2025 02:33:18.751813000 India Standard Time","172.16.44.224","104.18.27.90","49979","443",,,,,
"226","Mar 27, 2025 02:33:18.751899000 India Standard Time","172.16.44.224","8.8.4.4","49993","443",,,,,
"227","Mar 27, 2025 02:33:18.751927000 India Standard Time","172.16.44.224","8.8.4.4","49993","443",,,,,
"228","Mar 27, 2025 02:33:18.756683000 India Standard Time","8.8.4.4","172.16.44.224","443","49993",,,,,
"229","Mar 27, 2025 02:33:18.781432000 India Standard Time","172.16.44.224","142.250.182.142","50001","443",,,,,
"230","Mar 27, 2025 02:33:18.781432000 India Standard Time","172.16.44.224","142.250.182.142","50001","443",,,,,
"231","Mar 27, 2025 02:33:18.781432000 India Standard Time","172.16.44.224","142.250.182.142","50001","443",,,,,
"232","Mar 27, 2025 02:33:18.787240000 India Standard Time","142.250.182.142","172.16.44.224","443","50001",,,,,
"233","Mar 27, 2025 02:33:18.787240000 India Standard Time","142.250.182.142","172.16.44.224","443","50001",,,,,
"234","Mar 27, 2025 02:33:18.787240000 India Standard Time","142.250.182.142","172.16.44.224","443","50001",,,,,
"235","Mar 27, 2025 02:33:18.790990000 India Standard Time","8.8.4.4","172.16.44.224","443","49993",,,,,
"236","Mar 27, 2025 02:33:18.792689000 India Standard Time","172.16.44.224","57.155.141.113","49707","443",,,,,
"237","Mar 27, 2025 02:33:18.800036000 India Standard Time","172.16.44.224","8.8.4.4","49993","443",,,,,
"238","Mar 27, 2025 02:33:18.802157000 India Standard Time","104.18.27.90","172.16.44.224","443","49979",,,,,
"239","Mar 27, 2025 02:33:18.803928000 India Standard Time","8.8.4.4","172.16.44.224","443","49993",,,,,
"240","Mar 27, 2025 02:33:18.804156000 India Standard Time","172.16.44.224","8.8.4.4","49993","443",,,,,
"241","Mar 27, 2025 02:33:18.815041000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"242","Mar 27, 2025 02:33:18.840086000 India Standard Time","142.250.182.142","172.16.44.224","443","50001",,,,,
